Дата запуска,Блюдо,Количество повторных продаж,Стоимость по меню,Фактическая цена реализации за ед,Продано количество,Подарено по акции,Количество продаж с уценкой,Кол-во товаров проданных по спец цене ПЛ,Кол-во товаров проданных за живчики,Кол-во списаний,закупка
08.09.2022,Груша Конференция вес,0.0,379,0,0.0,0,0,0,0,2.268,2.0
20.07.2024,Груша Пакхам 500 г,0.0,189,0,0.0,0,0,0,0,1.0,1.0
20.09.2024,Груша вес,0.0,390,0,0.0,0,0,0,0,2.488,2.0
13.12.2022,Грушевый капучино стакан 300,30.0,580,150,76.0,0,0,21,0,0.0,98.0
13.12.2022,Декаф 14 грамм,0.0,52,0,59.0,0,0,0,0,0.0,59.0
15.03.2023,Декаф 28 грамм,0.0,0,0,3.0,0,0,0,0,0.0,3.0
04.05.2022,"Деликатес ""Славянский""",0.0,854,760,0.32,0,0,0,0,0.666,1.0
14.06.2023,"Десерт кокосовый, обогащенный пробиотиками, манго-маракуйя, 125г",0.0,142,0,0.0,0,0,0,0,1.0,1.0
14.06.2023,"Десерт кокосовый: натуральный, 125 г",0.0,142,142,1.0,0,0,0,0,1.0,2.0
15.02.2022,Детское какао 300мл,23.0,459,178,56.0,0,0,0,0,0.0,56.0
28.11.2023,Джерки из говядины (сухое мясо),0.0,198,198,1.0,0,0,0,0,0.0,1.0
10.11.2022,Джерки из индейки (сухое мясо),4.0,169,169,5.0,0,0,0,0,0.0,5.0
27.11.2023,Джерки из конины (сухое мясо),2.0,198,198,2.0,0,0,0,0,0.0,2.0
10.11.2022,Джерки из курицы (сухое мясо),0.0,169,169,2.0,0,0,0,0,0.0,2.0
10.11.2022,Джерки из свинины (сухое мясо),0.0,169,169,1.0,0,0,0,0,0.0,1.0
28.07.2023,Джерки из утки по-пекински (сухое мясо),0.0,198,198,1.0,0,0,0,0,0.0,1.0
14.02.2025,"Домашние котлеты из телятины и свинины с картофельным пюре, шт 100/150гр. Качество вкуса Сибирь",35.0,487,205,71.0,0,2,0,0,8.0,81.0
16.06.2022,Дополнительный сироп,0.0,10,0,1.0,0,0,0,0,0.0,1.0
26.10.2023,Дорада с лимоном и розмарином потрошенная вес (заморозка),0.0,1170,0,0.0,0,0,0,0,3.39,3.0
26.03.2022,Драники картофельные 100/30,18.0,165,0,0.0,0,0,0,0,1.0,1.0
01.01.1970,Драники картофельные 100/30. ФУДСТОР,18.0,277,164,32.0,0,0,0,0,0.0,32.0
07.04.2022,"ЖМ Мармелад ""Алатау"" с сосновой шишкой 110г ФП",1.0,195,195,2.0,0,0,0,0,0.0,2.0
21.03.2023,Жареная стеклянная лапша с курицей,11.0,254,0,0.0,0,0,0,0,5.0,5.0
14.08.2024,Жареная стеклянная лапша с курицей. Мисфуд,11.0,286,215,21.0,0,2,0,0,2.0,25.0
25.07.2024,Жареный онигири с беконом,92.0,917,160,183.0,0,2,0,0,13.0,194.0
25.07.2024,Жареный онигири с курицей карри,2.0,1121,104,8.0,0,0,6,0,0.0,14.0
21.07.2024,Жареный онигири с курицей чили,81.0,762,149,158.0,0,5,0,0,30.0,184.0
